Name,Type,URL,Description
2022 Associate Performance Dashboard,Dashboard,,This data requires access but a viewable sample is available
2023 Associate Performance Dashboard,Dashboard,,This data requires access but a viewable sample is available
2023 Partner Data Sheet,Dashboard,,This data requires access but a viewable sample is available
2023 USD Billing Rate Ranges,Access Required,,This data requires user access
2024 Energy PT Goals,Access Required,,This data requires user access
2024 FBC PT Goals,Access Required,,This data requires user access
2024 ICD PT Goals,Access Required,,This data requires user access
2024 Partner Data Sheet,Dashboard,,This data requires access but a viewable sample is available
2024 Performance Dashboard,Dashboard,,This data requires access but a viewable sample is available
2024 US Billing Rates,Access Required,,This data requires user access
353 N. Clark,URL,https://portal.353nclark.com/toc.cfm#,
Accounts Payable Frequently Asked Questions (AP FAQ).pdf,Access Required,,This data requires user access
ACH Authorization Form,Access Required,,This data requires user access
ADP,URL,https://workforcenow.adp.com/,
All My Sites,Access Required,,This data requires user access
AmLaw Daily News Feed,URL,https://feeds.feedblitz.com/amlaw&x=1,
AP Vendor Payments,Access Required,,This data requires user access
AR/WIP Dashboard,Access Required,,This data is not available
Asana Project Management,Access Required,,This data requires user access
Auditor Response Letter Review,Access Required,,This data requires user access
Authentic8 Silo Secure Web Browsing,Access Required,,This data requires user access
Billback,Access Required,,This data requires user access
Billing FAQs,Access Required,,This data requires user access
Billing Rates Report,Access Required,,This data requires user access
BST- Submit A REQ,Access Required,,This data is not available
Budgeting System,Access Required,,This data requires user access
Business Cards,Access Required,,This data requires user access
Cafe Menu - 353 N. Clark,URL,https://portal.353nclark.com/main.cfm?sid=amenities&pid=oamenities#cafe,
CE Manager,URL,https://jenner.cem.micronapps.com/login,
Chrome River Expense FAQs,Access Required,,This data requires user access
Chrome River Expense Quick Start Guide,Access Required,,This data requires user access
Chrome River Expense Reimbursement,URL,https://app.eu1.chromeriver.com/login/sso/saml/login,
Chrome River Primary Team Coordinator Process Guide,Access Required,,This data requires user access
Cisco Phone Manager,Access Required,,This data requires user access
Client Payment Instructions,Access Required,,This data requires user access
Client-Matter Lookup,Access Required,,This data requires user access
Conflicts & Business Intake,Access Required,,This data requires user access
Edit Calendar on Spark,Access Required,,This data requires user access
Employee Crisis Fund,URL,https://secure.givelively.org/donate/america-s-charities/jenner-block-employee-crisis-fund,
FedEx,URL,https://www.fedex.com/en-us/home.html,
FileTrail,Access Required,,This data requires user access
Financial Reports,Access Required,,This data requires user access
Firm Committee Memberships,Access Required,,This data requires user access
Helpline Ticket Tracker Portal,Access Required,,This data requires user access
How Do I/FAQs,Access Required,,This data requires user access
ICD Training Video,Access Required,,This data requires user access (password: JENNERICD)
Intellek,Access Required,,This data requires user access
InterAction,Access Required,,This data requires user access
Invoice Formats (Billing and Collections),Access Required,,This data requires user access
iTimeKeep,URL,https://services.bellefieldcloud.com/newdesktop/#/login,
Kiteworks,Access Required,,This data requires user access
Km Time,Access Required,,This data requires user access
KnowBe4 Security Awareness Training,Access Required,,This data requires user access
Lex Machina Legal Analytics,URL,https://law.lexmachina.com/,
Lex Mundi,Access Required,,This data requires user access
Library Catalog & Resources,Access Required,,This data requires user access
Mimecast Spam Detection,Access Required,,This data requires user access
Missing Time Dashboard,Access Required,,This data requires user access
My Matter Sites,Access Required,,This data requires user access
My Reports,Access Required,,This data requires user access
My Team Sites,Access Required,,This data requires user access
NetDocs,Access Required,,This data requires user access
NFS Conference Room Viewer,Access Required,,This data requires user access
Non-firm home page,Access Required,,This data requires user access
O&P-Business Generation Credits,Access Required,,This data requires user access
Onboarding - Summer Associates Dashboard,Dashboard,,This data requires access but a viewable sample is available
Partner Associate Performance Expectations,Access Required,,This data requires user access
Personnel Onboarding Dashboard,Access Required,,This data requires user access
Primary Team Leadership,Access Required,,This data requires user access
Primary Team Reports,Access Required,,This data requires user access
Primary Team Support,Access Required,,This data requires user access
Procurement Contract Status Tracker,Access Required,,This data requires user access
Reports Dashboard,Access Required,,This data requires user access
Screen Database,Access Required,,This data requires user access
Secretarial Training Tracker,Access Required,,This data requires user access
Services Guide for Lawyers,Access Required,,This data requires user access
Services Guide for Staff,Access Required,,This data requires user access
Software Request Form,Access Required,,This data requires user access
Spark Content Administrator SCA Edit HCP Content,Access Required,,This data requires user access
Staff Performance,Access Required,,This data requires user access
Submit Request (Intapp),Access Required,,This data requires user access
Time Entry Edit Request,Access Required,,This data requires user access
Timekeeper Analysis,Access Required,,This data requires user access
Travel Services,Access Required,,This data requires user access
UK Kiteworks,Access Required,,This data requires user access
Unapplied Funds - Disbursement Request Form,Access Required,,This data requires user access
UPS Campus Ship,URL,https://www.ups.com/lasso/login,
Utilization Dashboard,Dashboard,,This data requires access but a viewable sample is available
VDI Virtual Desktop Interface (NextJen),Access Required,,This data requires user access
Vendor Onboarding Forms,Access Required,,This data requires user access
viDesktop,Access Required,,This data requires user access
viDesktop (Summer Associates),Access Required,,This data requires user access
viDesktop Admin,Access Required,,This data requires user access
Webtime LMS,Access Required,,This data requires user access
WestLaw,URL,https://signon.thomsonreuters.com/?productid=CBT&lr=0&culture=en-US&returnto=https%3a%2f%2f1.next.westlaw.com%2fCosi%2fSignOn&tracetoken=0807241159160tljAb-M4URPGNiXtoq0XChiMf8tDeOSccnGznREXzSB4uIdFre6IcADWkhvXUuH-fk2497rtw3SLLeje2WRJ3m0Yt-AStxhC4Gaw4yG3P4ZrvQ9RYfVr_fvLgiS6KoGxLd9pux0sI9RI-wsVY5UiPRb-Qq68-AVy8cjbKCKsmJdPfjrdadzv9eUr9m_fWgW81LVkqU25fSS7MbazLtN0mLSnOuNq36-gFps4-RyhcY-SX44VeEtTyALmK839us2NE8PeFZHYunAeZ67z76TjMROKuSU37YEkhfk0AcLJZXvyZCmUMVs61cpHbEJcCv0XVwJCUfrrEpZL2R9WiVV5meKhEt3EY8EKqtcr1ATUEfsgC6RRYZVoxwQVQeVY5OwO&bhcp=1,
Wire Transfer Authorization Form,Access Required,,This data requires user access
